id,client_id,company_id,module_id,feature_code,feature_name,screen_name,serial_no,excel_upload_allowed,copy_allowed,approve_allowed,is_active,is_deleted,created_at,created_by,updated_at,updated_by,group_code,group_name,group_serial_no
5cded689-9999-448c-b7cc-0c24e7d17ed8,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-CUST,Customer Master,/master/customers,0,false,false,false,true,false,2026-07-18 14:46:22.927449+00,null,null,null,AD-MSTG,Master Data,2
ba83d600-50b2-404a-843e-7a3e20297338,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-SUPP,Supplier Master,/master/suppliers,1,false,false,false,true,false,2026-07-18 14:46:22.927449+00,null,null,null,AD-MSTG,Master Data,2
32b2c5e7-876e-4c73-912f-5afbbd447c6f,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-COA,Chart of Accounts,/master/accounts,2,false,false,false,true,false,2026-08-05 07:41:01.474098+00,null,null,null,AD-MSTG,Master Data,2
f017a176-579d-40be-92d4-0363c52c12d9,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-ITC,Item Categories,/master/item-categories,3,false,false,false,true,false,2026-08-05 07:41:01.474098+00,null,null,null,AD-MSTG,Master Data,2
9db9ed8c-f88b-46ed-ad24-fbc0a757d008,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-CMN,Common Masters,/master/common-masters,4,false,false,false,true,false,2026-08-05 07:41:01.474098+00,null,null,null,AD-MSTG,Master Data,2
9017799d-f7d6-4bf8-9aec-99c008c42f68,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-TAX,Tax Master,/master/tax-master,5,false,false,false,true,false,2026-08-05 07:41:01.474098+00,null,null,null,AD-MSTG,Master Data,2
744bf49f-a40b-434b-9ec2-e33523f43382,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-TXG,Tax Groups,/master/tax-groups,6,false,false,false,true,false,2026-08-05 07:41:01.474098+00,null,null,null,AD-MSTG,Master Data,2
9021d357-80a4-4011-abda-0d7bebd9a7c1,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-CHG,Additional Charges,/master/additional-charges,7,false,false,false,true,false,2026-08-05 07:41:01.474098+00,null,null,null,AD-MSTG,Master Data,2
149e5389-3086-465f-934b-7bde45b0b692,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-ALS,Account Link Setup,/master/account-link-setup,8,false,false,false,true,false,2026-08-05 07:41:01.474098+00,null,null,null,AD-MSTG,Master Data,2
19601ad4-408b-4e79-abac-c504bcc26f87,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-IAL,Item Account Links,/master/item-account-links,9,false,false,false,true,false,2026-08-05 07:41:01.474098+00,null,null,null,AD-MSTG,Master Data,2
9b846be2-d90c-4cda-a0fc-9cda9f4a1b13,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,MST-PRD,Product Master,/master/products,10,false,false,false,true,false,2026-08-05 07:41:01.474098+00,null,null,null,AD-MSTG,Master Data,2
03dcc3d0-7cd8-4a44-a558-bdcffbe613fb,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-PRL,Product List,/master/products,0,false,false,false,true,false,2026-06-29 15:17:31.58741+00,null,null,null,AD-SETG,System Setup,0
5677a477-1225-4d00-a7e2-a5c47bf841ca,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-ULS,User Location Setup,/setup/user-location-access,0,false,false,false,true,false,2026-07-01 17:31:05.692089+00,null,null,null,AD-SETG,System Setup,0
f35e349e-58db-4f36-a500-cfc8560ff6ad,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-ADM,Additional Chanrges,/master/additional-charges,0,false,false,false,true,false,2026-07-02 16:21:55.39812+00,null,null,null,AD-SETG,System Setup,0
917b3f3f-9d66-4bcb-8b80-3b708267ad90,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-ALS,Account Link Setup,/master/account-link-setup,0,false,false,false,true,false,2026-07-02 18:29:49.999028+00,null,null,null,AD-SETG,System Setup,0
9be807b0-8773-47bd-8a4f-0a5d425c5ebc,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-IAL,Item/Product Account Linking,/master/item-account-links,0,false,false,false,true,false,2026-07-03 03:11:30.293343+00,null,null,null,AD-SETG,System Setup,0
66688c7d-ab92-45c4-90b1-fa24a0a058ba,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-PRC,Period Close Settings,/setup/period-close,0,false,false,false,true,false,2026-07-04 03:48:35.494619+00,null,null,null,AD-SETG,System Setup,0
916c831b-5c64-462b-814e-06910883698b,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-BKE,Back Dated Entry Settings,/setup/backdated-entry-control,0,false,false,false,true,false,2026-07-04 03:49:12.351888+00,null,null,null,AD-SETG,System Setup,0
a940218f-8631-4440-8f82-9995f5c73e5e,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-PGS,Product Transaction Permission,/setup/product-flag-types,0,false,false,false,true,false,2026-06-26 17:42:38.837244+00,null,null,null,AD-SETG,System Setup,0
cd8340f7-e8dd-4ccd-88dd-7acac7d9f2f8,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-MN,Setup Master Menu,/setup/locations,0,false,false,false,true,false,2026-06-15 13:29:19.286269+00,null,null,null,AD-SETG,System Setup,0
d6130852-4c62-4a13-a3c4-3fa3936d8d01,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-TXS,Tax Master,/master/tax-master,0,false,false,false,true,false,2026-06-27 06:08:25.592606+00,null,null,null,AD-SETG,System Setup,0
8405849d-cc20-41bf-8735-fea800b83f79,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-DIV,Country Divisions,/setup/divisions,0,false,false,false,true,false,2026-06-18 14:52:30.836726+00,null,null,null,AD-SETG,System Setup,0
4cc54726-2982-4943-b0d8-7c67f531f5e2,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-CIT,cities,/setup/cities,0,false,false,false,true,false,2026-06-18 14:53:31.66595+00,null,null,null,AD-SETG,System Setup,0
34edda00-2f55-4de3-bb85-7e52c27bba7d,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-ACT,Accouting Setup,/setup/accounting,0,false,false,false,true,false,2026-06-18 14:54:52.071116+00,null,null,null,AD-SETG,System Setup,0
4a4a1078-8b39-49b2-a781-680fa359817a,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AC-COA,Chart of Account,/master/accounts,0,false,false,false,true,false,2026-06-18 15:09:45.52526+00,null,null,null,AD-SETG,System Setup,0
931c3b33-b60b-4968-a2d0-c695c76fdbd7,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-M001,Common Masters,/master/common-masters,0,false,false,false,true,false,2026-06-25 14:29:23.871202+00,null,null,null,AD-SETG,System Setup,0
005153d7-3dd4-4524-9617-89cae126c4d8,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-PCS,Product Category Level Setup,/setup/category-levels,0,false,false,false,true,false,2026-06-26 17:43:37.162917+00,null,null,null,AD-SETG,System Setup,0
b6e42c72-a2c2-496f-8673-8008645bd2af,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-ICS,Product Category Master,/master/item-categories,0,false,false,false,true,false,2026-06-26 17:46:00.788738+00,null,null,null,AD-SETG,System Setup,0
ca058f93-c556-427b-80af-7ea04ae945e8,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-TXG,Tax Groups,/master/tax-groups,0,false,false,false,true,false,2026-06-27 06:07:22.964757+00,null,null,null,AD-SETG,System Setup,0
e23d7d78-ba11-4a8e-b80a-1fabc1007e29,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-CNT,Country Setup,/setup/countries,1,false,false,false,true,false,2026-06-17 15:12:18.56237+00,null,null,null,AD-SETG,System Setup,0
017b41e8-352a-4e4a-bdf4-9d90e6ddb0c1,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-MST,Master Menu,/setup/master-menu,3,false,true,false,true,false,2026-06-15 13:34:26.709285+00,null,null,null,AD-SETG,System Setup,0
6f496f7b-455f-4847-ada9-2bb036f7474e,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-CMP,Company Setup,/setup/company,3,false,false,false,true,false,2026-06-15 10:47:16.685568+00,null,null,null,AD-SETG,System Setup,0
26870ce5-1277-4a6e-9575-95f455f06554,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-PDC,Period Close,/setup/period-close,3,false,false,true,true,false,2026-07-04 02:10:01.822152+00,null,null,null,AD-SETG,System Setup,0
4938ba52-9d08-44a8-ba83-83aab4c49b26,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-BDC,Backdated Entry Control,/setup/backdated-entry-control,4,false,false,false,true,false,2026-07-04 02:10:01.822152+00,null,null,null,AD-SETG,System Setup,0
9bbdc25e-f109-45e1-8fa2-b89c9ea5b374,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-LOC,Location Setup,/setup/locations,4,false,false,false,true,false,2026-06-15 10:47:16.685568+00,null,null,null,AD-SETG,System Setup,0
33cd663c-1012-4e00-9f27-4f72cded3d3a,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-PDT,Print Templates,/setup/print-templates,5,false,true,false,true,false,2026-07-04 09:21:45.171283+00,null,null,null,AD-SETG,System Setup,0
64f5eff0-fda8-4e9d-a97f-7eb6f0e003dc,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-PAYTERM,Payment Terms,/master/payment-terms,5,false,false,false,true,false,2026-07-16 10:10:35.838155+00,null,null,null,AD-SETG,System Setup,0
220f4298-5444-409c-8fb1-1c1aec26cf6d,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-CUR,Currency Setup,/setup/currencies,5,false,false,false,true,false,2026-06-15 10:47:16.685568+00,null,null,null,AD-SETG,System Setup,0
7f5dc083-81fa-4b30-85b0-125a42660972,5cf9eacb-77c4-4ec6-ba87-a4fc24d05f1a,e8ea07be-afce-4063-abe3-96945fc5c10b,da9ca962-4243-40db-a8f7-25f1e7efab6d,AD-QIS,Quick Invoice Setup,/setup/quick-invoice-setup,6,false,false,false,true,false,2026-07-16 17:25:03.428734+00,null,null,null,AD-SETG,System Setup,0
